pH,Turbidity,Chlorine,Dissolved Oxygen,Temperature,Potability
7.07,1.39,0.79,6.64,25,TRUE
6.67,2.02,0.9,7.58,0,TRUE
8.83,4.65,0.92,7.02,50,TRUE
7.82,2.83,0.65,7.25,50,TRUE
7.27,3.45,0.99,7.02,25,TRUE
7.55,1.3,0.66,7.4,50,TRUE
6.68,19.87,0.81,6.99,0,FALSE
7.5,1.98,0.57,6.65,50,TRUE
7.21,4.01,0.5,6.62,25,TRUE
6.59,4.7,0.93,7.28,25,TRUE
8.45,1.12,0.65,6.53,0,TRUE
8.55,3.45,0.61,6.64,50,TRUE
8.35,1.59,0.57,7.03,0,TRUE
6.2,3.86,0.76,7.71,25,TRUE
8.21,2.37,0.67,7.07,0,TRUE
7.74,3.72,0.87,7.63,50,TRUE
6.34,3.97,0.87,6.88,25,TRUE
8.02,3.43,0.79,7.15,25,TRUE
7.93,2.96,0.76,7.3,0,TRUE
7.31,4.84,9.63,6.83,25,FALSE
7.22,2.08,0.55,6.86,25,TRUE
7.19,4.19,0.82,7.64,50,TRUE
7.66,1.67,0.72,7.84,0,TRUE
7.3,5.0,0.51,7.8,25,TRUE
6.11,4.89,0.5,7.83,25,TRUE
8.28,3.49,0.83,7.55,0,TRUE
7.66,3.08,0.61,7.93,50,TRUE
7.87,1.69,0.5,7.67,50,TRUE
7.79,3.79,0.79,7.5,25,TRUE
7.49,4.24,0.94,7.96,25,TRUE
6.59,3.62,0.73,7.31,25,TRUE
7.81,3.49,0.6,7.92,25,TRUE
6.98,1.28,0.54,13.06,0,FALSE
7.8,4.52,0.78,7.14,0,TRUE
6.99,3.28,0.9,6.79,50,TRUE
6.68,3.73,0.67,7.17,0,TRUE
7.63,1.09,0.84,6.87,25,TRUE
7.72,4.85,0.63,6.93,50,TRUE
7.35,2.85,0.65,7.87,25,TRUE
6.78,2.19,0.57,6.86,0,TRUE
6.8,1.6,0.53,7.07,0,TRUE
6.91,3.08,0.94,6.8,25,TRUE
7.75,2.98,0.67,6.83,0,TRUE
7.79,1.57,0.88,6.73,25,TRUE
7.96,3.13,0.91,7.81,50,TRUE
6.66,2.34,0.59,15.07,0,FALSE
6.47,1.97,0.68,7.86,25,TRUE
7.96,3.3,0.76,6.73,0,TRUE
8.23,1.27,0.76,6.86,50,TRUE
7.56,2.11,0.99,7.15,50,TRUE
8.29,4.21,0.82,7.57,0,TRUE
6.7,1.39,0.98,6.6,0,TRUE
6.25,2.43,0.54,6.94,25,TRUE
7.64,2.21,0.94,7.94,0,TRUE
8.27,1.1,0.69,6.58,0,TRUE
6.98,1.86,0.61,7.03,0,TRUE
7.46,4.49,0.65,7.45,0,TRUE
8.89,4.44,0.65,7.87,50,TRUE
6.97,17.98,0.73,6.62,0,FALSE
8.83,3.36,0.61,7.83,50,TRUE
6.48,1.98,0.92,6.82,25,TRUE
7.88,3.38,0.64,7.11,25,TRUE
6.33,1.74,0.88,6.87,25,TRUE
7.35,2.61,0.55,6.89,50,TRUE
6.69,1.77,0.9,7.68,0,TRUE
7.63,3.52,0.62,6.75,25,TRUE
8.11,4.81,0.51,7.87,0,TRUE
8.16,4.3,0.63,7.32,50,TRUE
7.72,4.36,0.89,7.08,50,TRUE
8.1,1.33,0.73,6.56,50,TRUE
7.83,3.52,0.54,7.17,25,TRUE
7.59,2.53,0.59,13.98,25,FALSE
7.78,4.44,0.73,7.13,25,TRUE
6.91,4.89,0.78,7.86,25,TRUE
8.47,1.9,0.7,6.93,0,TRUE
7.25,1.21,0.67,6.87,25,TRUE
7.49,4.19,0.64,6.57,0,TRUE
8.32,1.57,0.89,6.55,0,TRUE
6.98,2.81,0.58,7.81,25,TRUE
7.98,4.52,0.66,7.72,0,TRUE
7.89,2.11,0.52,6.83,50,TRUE
7.86,3.1,0.55,7.67,50,TRUE
6.26,4.65,0.58,7.53,25,TRUE
7.25,2.02,0.62,6.9,0,TRUE
6.9,13.74,0.98,6.55,25,FALSE
8.4,3.97,0.63,7.96,50,TRUE
8.84,1.19,0.94,6.58,50,TRUE
7.56,3.17,0.82,6.71,0,TRUE
7.23,2.01,0.73,6.79,0,TRUE
7.75,2.62,0.94,7.69,25,TRUE
7.32,2.35,0.51,7.46,50,TRUE
8.0,4.77,0.64,7.72,25,TRUE
7.82,4.43,0.89,7.78,50,TRUE
7.21,2.62,0.78,7.51,50,TRUE
6.58,4.21,0.57,6.75,25,TRUE
7.61,4.32,0.6,6.66,0,TRUE
7.94,4.14,0.51,7.98,0,TRUE
7.05,4.41,17.61,7.97,50,FALSE
7.39,1.53,0.69,7.25,0,TRUE
8.36,3.48,0.89,7.55,0,TRUE
7.81,4.72,0.85,7.62,0,TRUE
8.55,4.58,0.6,7.2,50,TRUE
6.98,2.92,0.86,7.38,50,TRUE
8.66,3.28,0.5,6.52,50,TRUE
7.02,2.37,0.95,6.63,0,TRUE
7.84,2.5,0.89,7.88,0,TRUE
7.45,2.64,0.52,7.62,50,TRUE
6.32,3.83,0.73,7.43,25,TRUE
8.47,1.17,0.84,6.74,50,TRUE
8.48,4.14,0.79,6.93,50,TRUE
7.53,13.3,0.86,6.88,25,FALSE
7.28,3.14,0.83,7.15,0,TRUE
7.15,2.25,0.76,7.04,25,TRUE
8.21,4.46,0.61,6.75,50,TRUE
8.23,1.16,0.94,7.73,50,TRUE
6.59,3.82,0.69,7.99,25,TRUE
7.01,2.87,0.7,6.55,0,TRUE
7.46,3.42,0.96,6.77,50,TRUE
7.3,4.15,0.56,6.95,25,TRUE
8.29,3.28,0.73,7.34,50,TRUE
7.61,2.09,0.84,7.19,50,TRUE
7.72,1.98,0.99,7.32,50,TRUE
7.38,3.17,0.64,7.17,0,TRUE
7.24,1.25,0.7,16.02,50,FALSE
7.29,2.33,0.7,7.04,25,TRUE
6.54,4.93,0.85,7.62,0,TRUE
7.81,2.6,0.72,7.63,0,TRUE
8.85,1.04,0.91,7.17,50,TRUE
7.84,2.74,0.69,7.6,0,TRUE
7.65,4.24,0.61,6.72,25,TRUE
8.01,2.61,0.76,6.66,0,TRUE
6.12,2.02,0.68,6.57,25,TRUE
8.22,1.66,0.97,7.87,50,TRUE
7.63,3.94,0.59,7.38,50,TRUE
8.95,2.32,0.77,6.7,50,TRUE
7.16,3.02,0.53,7.24,25,TRUE
6.72,1.87,0.61,14.79,25,FALSE
7.28,4.28,0.86,7.83,25,TRUE
7.32,2.85,0.95,6.94,0,TRUE
8.22,1.19,0.51,7.09,50,TRUE
7.88,1.37,0.94,7.56,25,TRUE
8.16,1.64,0.97,7.32,0,TRUE
7.11,4.24,0.69,6.65,25,TRUE
8.9,4.46,0.59,8.0,50,TRUE
6.66,4.95,0.77,7.96,0,TRUE
8.85,3.61,0.61,7.68,50,TRUE
7.98,1.39,0.87,7.13,0,TRUE
7.05,1.22,0.83,6.69,0,TRUE
6.83,1.58,0.56,6.97,25,TRUE
7.46,17.56,1.0,7.87,50,FALSE
7.54,2.96,0.61,7.42,0,TRUE
7.79,3.75,0.76,6.99,50,TRUE
6.76,3.72,0.71,7.15,25,TRUE
8.42,1.25,0.68,6.82,50,TRUE
6.92,2.81,0.54,7.01,0,TRUE
7.97,2.2,0.77,7.48,25,TRUE
7.9,2.57,0.88,6.91,25,TRUE
6.64,3.61,0.77,7.61,25,TRUE
7.72,4.54,0.65,7.99,25,TRUE
7.28,4.5,0.75,7.27,25,TRUE
6.65,1.96,0.73,7.58,0,TRUE
8.41,2.34,0.53,6.57,0,TRUE
7.1,15.27,0.76,7.06,50,FALSE
8.54,2.0,0.65,6.97,50,TRUE
7.28,2.67,0.55,7.92,25,TRUE
7.08,2.45,0.76,7.0,25,TRUE
7.19,3.93,0.93,6.52,50,TRUE
7.81,2.68,0.81,7.96,0,TRUE
6.99,1.34,0.63,7.14,0,TRUE
7.9,3.83,0.62,7.51,50,TRUE
7.08,2.24,0.71,7.44,0,TRUE
8.0,3.09,0.91,7.94,0,TRUE
6.81,1.72,0.75,7.41,0,TRUE
8.69,1.67,0.87,6.58,50,TRUE
8.79,4.06,0.87,6.84,50,TRUE
7.11,18.27,0.88,7.04,0,FALSE
7.13,4.32,0.56,7.12,50,TRUE
7.31,4.04,0.87,7.31,25,TRUE
8.88,1.14,0.51,7.23,50,TRUE
7.27,3.67,0.86,6.84,50,TRUE
7.21,3.41,0.93,7.7,25,TRUE
6.3,4.29,0.94,7.58,25,TRUE
7.56,4.09,0.74,7.46,25,TRUE
7.64,1.02,0.95,7.84,0,TRUE
7.97,1.59,0.86,6.89,0,TRUE
7.23,1.01,0.78,6.97,0,TRUE
7.7,2.4,0.9,7.67,50,TRUE
7.15,1.58,0.62,6.85,25,TRUE
10.08,1.57,0.73,6.81,0,FALSE
7.1,2.31,0.91,7.01,0,TRUE
6.93,4.32,0.86,7.01,25,TRUE
7.57,2.03,0.88,6.99,25,TRUE
8.59,2.5,0.71,7.65,50,TRUE
7.17,3.42,0.71,7.49,25,TRUE
7.32,2.79,0.72,7.1,0,TRUE
7.98,2.49,0.75,6.62,25,TRUE
6.35,4.57,0.96,6.67,25,TRUE
7.6,1.22,0.78,7.6,25,TRUE
7.38,3.72,0.87,6.8,0,TRUE
8.95,3.32,0.75,7.75,50,TRUE
7.48,1.76,0.79,7.24,25,TRUE
13.7,3.53,0.74,7.84,0,FALSE
7.93,4.41,0.8,7.08,50,TRUE
8.37,3.52,0.94,7.15,50,TRUE
7.81,3.46,0.83,7.84,50,TRUE
8.39,3.7,0.52,6.76,50,TRUE
6.46,1.05,0.52,7.38,25,TRUE
7.36,1.41,0.99,7.45,50,TRUE
8.93,2.04,0.71,6.89,50,TRUE
7.28,4.48,0.78,7.85,0,TRUE
6.53,3.12,0.83,7.76,0,TRUE
7.45,4.94,0.59,6.98,50,TRUE
7.2,2.7,0.83,7.03,50,TRUE
6.35,4.8,0.58,7.4,25,TRUE
7.53,4.83,0.55,6.92,25,FALSE
6.77,4.07,0.95,7.93,0,TRUE
6.41,4.33,0.89,7.08,25,TRUE
8.09,2.48,0.9,7.27,0,TRUE
6.6,4.66,0.61,7.3,25,TRUE
7.64,3.45,0.91,7.22,50,TRUE
8.08,4.32,0.73,7.53,25,TRUE
6.56,4.77,0.78,6.94,0,TRUE
8.87,2.29,0.61,7.56,50,TRUE
7.71,3.3,0.64,7.47,50,TRUE
7.3,2.12,0.99,7.43,50,TRUE
7.86,4.8,0.59,7.02,25,TRUE
7.05,4.1,0.58,7.11,50,TRUE
7.66,3.56,3.01,7.62,25,FALSE
7.91,1.12,0.65,7.56,0,TRUE
6.92,1.93,0.6,6.95,25,TRUE
7.79,3.12,0.74,7.88,50,TRUE
7.61,3.68,0.87,7.2,0,TRUE
7.03,2.98,0.69,6.72,50,TRUE
7.19,3.96,0.64,7.99,0,TRUE
7.02,2.82,1.0,7.79,0,TRUE
8.43,4.58,0.74,7.87,50,TRUE
7.91,1.17,0.76,6.62,25,TRUE
7.94,2.31,0.58,6.91,25,TRUE
7.23,1.02,0.71,6.83,0,TRUE
8.17,4.47,0.85,6.58,0,TRUE
7.37,4.46,16.03,6.54,25,FALSE
6.19,3.25,0.5,7.73,25,TRUE
8.07,2.45,0.67,7.81,25,TRUE
7.56,4.12,0.69,7.55,25,TRUE
7.41,2.99,0.97,6.53,50,TRUE
7.29,3.3,0.63,6.9,25,TRUE
7.46,4.42,0.58,7.01,25,TRUE
7.93,4.96,0.82,6.61,0,TRUE
6.97,2.71,0.8,7.1,25,TRUE
8.31,4.84,0.81,7.37,50,TRUE
8.52,3.99,0.54,6.7,50,TRUE
6.11,2.82,0.54,7.28,25,TRUE
7.99,3.28,0.59,7.78,25,TRUE
7.87,1.45,16.46,6.65,50,FALSE
8.48,4.84,0.59,7.13,50,TRUE
7.3,2.55,0.76,6.91,0,TRUE
7.74,2.18,0.56,7.56,25,TRUE
7.36,1.78,0.75,7.76,50,TRUE
7.84,1.91,0.61,6.79,0,TRUE
8.81,3.44,0.81,7.87,50,TRUE
7.7,1.94,0.77,7.51,50,TRUE
6.97,4.14,0.52,7.97,0,TRUE
8.33,2.03,0.53,7.71,50,TRUE
8.83,2.93,0.9,7.6,50,TRUE
8.01,3.19,0.95,6.72,25,TRUE
7.43,3.07,0.53,7.92,25,TRUE
7.53,4.04,0.79,15.61,25,FALSE
8.3,3.63,0.66,6.94,0,TRUE
7.03,2.76,0.67,6.6,50,TRUE
8.2,1.48,0.71,7.58,50,TRUE
7.59,3.26,0.77,7.47,0,TRUE
7.29,2.98,0.88,7.29,50,TRUE
7.25,2.66,0.79,6.66,25,TRUE
7.95,3.7,0.69,7.59,25,TRUE
8.43,2.4,0.83,7.9,50,TRUE
7.12,4.95,0.67,7.11,25,TRUE
8.66,4.67,0.76,7.57,50,TRUE
7.95,1.11,0.98,6.67,25,TRUE
6.76,2.51,0.52,6.52,25,TRUE
7.96,3.26,0.55,19.16,25,FALSE
7.84,3.07,0.64,6.54,0,TRUE
6.29,2.38,0.6,7.67,25,TRUE
7.7,2.27,0.62,7.14,25,TRUE
8.51,1.27,0.81,6.76,50,TRUE
7.93,3.82,0.92,7.64,50,TRUE
6.51,4.6,0.55,7.45,25,TRUE
6.67,4.97,0.81,6.88,0,TRUE
6.87,2.52,0.92,7.55,25,TRUE
7.86,3.24,0.75,7.22,25,TRUE
7.09,3.97,0.87,7.23,25,TRUE
6.12,2.12,0.58,7.2,25,TRUE
7.58,1.45,0.84,7.77,25,TRUE
7.94,15.51,0.72,7.18,25,FALSE
8.41,1.47,0.79,6.87,0,TRUE
7.75,1.9,0.9,7.64,50,TRUE
7.15,3.66,0.83,7.36,50,TRUE
6.72,1.49,0.89,7.31,25,TRUE
7.9,4.88,0.99,8.0,25,TRUE
8.66,2.33,0.69,7.78,50,TRUE
7.33,3.39,0.56,6.84,50,TRUE
8.13,1.26,0.69,7.09,0,TRUE
7.58,4.53,0.55,7.93,25,TRUE
6.59,2.17,0.64,7.4,0,TRUE
7.26,3.04,0.96,6.65,0,TRUE
8.04,3.9,0.74,7.95,0,TRUE
7.0,4.45,18.81,7.49,25,FALSE
7.93,4.83,0.8,7.14,25,TRUE
8.58,2.37,0.64,6.52,50,TRUE
7.11,4.9,0.67,6.97,0,TRUE
8.41,2.2,0.75,7.45,0,TRUE
6.68,4.57,0.55,7.16,25,TRUE
8.58,2.06,0.58,7.67,50,TRUE
6.68,4.41,0.89,7.92,25,TRUE
7.14,3.04,0.78,7.9,50,TRUE
7.95,3.04,0.77,6.8,25,TRUE
8.42,4.65,0.92,7.29,0,TRUE
7.74,4.85,0.75,6.68,50,TRUE
6.57,3.56,0.79,6.86,25,TRUE
11.37,1.74,0.64,7.52,25,FALSE
7.88,4.32,0.6,7.17,50,TRUE
6.91,3.83,0.68,6.72,25,TRUE
8.55,4.82,0.65,7.0,50,TRUE
7.26,2.34,0.64,6.73,0,TRUE
7.35,3.83,0.77,6.93,25,TRUE
7.62,2.43,0.67,6.82,25,TRUE
8.29,3.85,0.75,6.82,50,TRUE
7.77,3.14,0.87,6.76,0,TRUE
7.14,3.07,0.52,6.96,25,TRUE
8.07,3.54,0.57,7.41,0,TRUE
8.17,4.95,0.8,7.71,50,TRUE
7.96,1.49,0.62,7.43,0,TRUE
7.61,4.89,0.81,7.92,25,FALSE
6.8,1.39,0.97,7.99,0,TRUE
8.12,2.21,0.65,7.37,50,TRUE
7.21,2.09,0.74,7.66,0,TRUE
6.64,1.69,0.8,7.23,25,TRUE
6.42,4.61,0.6,7.2,25,TRUE
6.99,4.2,0.83,6.69,0,TRUE
7.79,1.65,0.85,7.5,50,TRUE
6.61,4.57,0.84,7.36,0,TRUE
8.09,3.1,0.73,7.32,0,TRUE
7.06,3.1,0.54,7.68,25,TRUE
6.4,3.77,0.87,7.06,25,TRUE
6.13,3.84,0.69,6.62,25,TRUE
7.88,3.74,15.11,6.86,50,FALSE
6.56,1.25,0.79,6.96,25,TRUE
8.15,1.9,0.94,7.64,50,TRUE
8.87,4.57,0.66,6.93,50,TRUE
7.13,4.33,0.76,7.84,0,TRUE
7.91,4.42,0.79,7.01,25,TRUE
7.71,3.5,0.68,7.9,25,TRUE
7.95,2.32,0.98,7.58,0,TRUE
6.47,3.47,0.52,7.48,25,TRUE
7.24,4.87,0.73,6.9,25,TRUE
6.35,2.0,0.66,7.63,25,TRUE
8.63,4.94,0.8,6.88,50,TRUE
7.89,3.38,0.97,7.69,50,TRUE
13.34,3.31,0.64,7.22,50,FALSE
8.0,2.07,0.92,7.58,50,TRUE
7.49,1.74,0.96,7.62,25,TRUE
8.78,2.35,0.57,6.77,50,TRUE
6.63,4.67,0.85,7.09,25,TRUE
7.85,3.21,1.0,7.36,0,TRUE
8.87,4.64,0.95,6.85,50,TRUE
7.02,4.39,0.79,7.86,0,TRUE
6.39,1.77,0.96,7.23,25,TRUE
7.98,2.11,0.9,7.09,25,TRUE
7.09,2.23,0.58,7.74,0,TRUE
7.17,3.59,0.55,7.71,0,TRUE
7.13,2.16,0.72,7.01,0,TRUE
9.96,1.32,0.89,6.53,0,FALSE
8.46,1.73,0.87,6.81,0,TRUE
8.07,2.69,0.92,7.89,50,TRUE
6.32,3.3,0.56,7.31,25,TRUE
6.84,3.95,0.6,6.86,0,TRUE
7.45,4.35,0.75,7.38,0,TRUE
7.98,4.25,0.77,6.64,25,TRUE
8.82,2.68,0.77,7.02,50,TRUE
8.14,2.78,0.6,7.66,0,TRUE
8.82,1.91,0.8,6.93,50,TRUE
7.82,4.85,0.8,7.95,0,TRUE
7.11,4.19,0.97,6.86,25,TRUE
8.75,3.27,0.95,7.13,50,TRUE
7.17,2.67,12.12,6.88,0,FALSE
6.95,2.58,0.65,7.01,0,TRUE
8.53,2.85,0.58,6.68,50,TRUE
8.9,1.59,0.62,7.93,50,TRUE
8.41,4.78,0.78,6.59,50,TRUE
8.68,1.34,0.77,7.8,50,TRUE
8.2,3.85,0.89,7.05,0,TRUE
7.7,4.87,0.94,7.88,50,TRUE
7.28,4.19,0.93,7.22,0,TRUE
7.45,3.34,0.96,7.5,25,TRUE
8.09,2.18,0.84,6.95,0,TRUE
8.04,3.33,0.85,7.22,25,TRUE
6.77,3.68,0.99,7.93,0,TRUE
6.52,2.66,0.96,13.63,0,FALSE
7.2,1.32,0.64,6.82,0,TRUE
8.74,1.04,0.78,7.13,50,TRUE
7.84,1.88,0.95,7.96,25,TRUE
8.72,1.07,0.76,7.75,50,TRUE
8.65,3.11,0.91,6.6,50,TRUE
7.27,1.52,0.73,7.64,25,TRUE
7.43,2.7,0.65,7.49,0,TRUE
6.81,4.54,0.75,7.67,25,TRUE
7.86,2.78,0.98,7.66,25,TRUE
6.59,4.56,0.89,6.78,25,TRUE
7.38,2.83,0.79,7.8,50,TRUE
7.24,2.58,0.94,6.97,50,TRUE
7.52,2.26,10.71,7.71,25,FALSE
8.25,3.36,0.83,7.06,50,TRUE
6.95,3.27,0.84,6.74,0,TRUE
7.16,1.09,0.52,7.92,0,TRUE
7.67,1.31,0.84,7.45,50,TRUE
8.25,4.2,0.51,7.52,0,TRUE
8.33,4.54,0.98,7.46,0,TRUE
6.98,4.27,0.74,7.91,25,TRUE
8.9,1.34,0.73,7.99,50,TRUE
8.65,1.7,0.92,6.54,50,TRUE
7.1,3.21,0.64,7.88,25,TRUE
8.93,1.66,0.81,6.68,50,TRUE
7.44,4.51,0.77,7.55,50,TRUE
9.93,2.5,0.82,7.61,25,FALSE
8.09,2.98,0.74,7.22,25,TRUE
7.27,2.94,0.71,6.72,50,TRUE
7.25,4.19,0.87,7.33,0,TRUE
7.87,2.71,0.58,7.04,50,TRUE
7.64,1.19,0.76,6.88,0,TRUE
7.9,1.09,0.63,7.82,50,TRUE
8.32,3.27,0.72,7.36,50,TRUE
6.57,4.59,0.97,7.61,0,TRUE
6.55,4.4,0.51,7.06,0,TRUE
6.94,2.48,0.67,6.56,0,TRUE
6.94,3.5,0.81,7.13,25,TRUE
8.07,4.46,0.51,6.61,25,TRUE
6.53,13.87,0.67,6.54,0,FALSE
8.34,2.32,0.81,7.77,0,TRUE
7.5,4.12,0.51,7.24,25,TRUE
7.45,2.93,0.88,7.54,25,TRUE
7.87,3.79,0.73,6.69,0,TRUE
7.0,1.34,0.77,7.34,50,TRUE
7.14,2.07,0.72,7.1,50,TRUE
6.95,3.71,0.54,7.66,0,TRUE
7.09,3.06,0.78,6.92,0,TRUE
7.52,2.13,0.83,7.35,25,TRUE
6.73,2.85,0.73,6.94,0,TRUE
6.93,2.1,0.8,7.5,25,TRUE
6.83,3.74,0.66,7.85,25,TRUE
13.08,4.55,0.73,6.92,50,FALSE
8.27,3.43,0.56,7.77,50,TRUE
6.41,2.51,0.96,7.72,25,TRUE
8.89,3.3,0.55,6.99,50,TRUE
7.68,3.25,0.82,7.63,50,TRUE
6.63,1.44,0.6,6.88,25,TRUE
7.25,3.44,0.84,6.64,50,TRUE
7.65,2.38,0.81,7.43,0,TRUE
8.08,4.92,0.58,6.78,50,TRUE
7.19,3.37,0.77,6.99,25,TRUE
6.66,1.57,0.68,7.72,25,TRUE
8.7,1.52,0.63,7.65,50,TRUE
7.79,1.88,0.87,7.84,25,TRUE
6.62,4.35,11.49,6.54,0,FALSE
7.96,2.46,0.94,7.0,50,TRUE
8.5,1.3,0.97,7.36,50,TRUE
8.1,1.7,0.8,7.28,0,TRUE
6.21,3.57,0.76,6.91,25,TRUE
6.88,3.82,0.84,7.42,0,TRUE
6.72,4.44,0.59,6.6,0,TRUE
6.86,3.56,0.73,7.15,25,TRUE
7.21,4.26,0.74,6.56,0,TRUE
8.16,4.19,0.59,7.0,0,TRUE
6.81,3.98,0.99,7.25,25,TRUE
7.46,1.1,0.9,7.8,25,TRUE
7.89,1.88,0.79,6.8,0,TRUE
6.65,1.1,0.68,6.69,50,FALSE
7.85,2.14,0.72,7.97,0,TRUE
6.36,1.89,0.52,7.14,25,TRUE
7.92,1.21,0.92,6.96,25,TRUE
7.0,2.59,0.77,7.52,25,TRUE
6.7,1.15,0.78,6.99,0,TRUE
7.52,1.28,0.59,7.08,0,TRUE
7.78,4.37,0.79,7.72,50,TRUE
8.05,4.8,0.92,7.82,0,TRUE
7.93,1.75,0.82,7.09,0,TRUE
6.53,4.46,0.68,6.54,25,TRUE
7.76,4.41,0.97,6.79,0,TRUE
7.3,3.07,0.65,7.58,25,TRUE
12.92,2.28,0.74,7.2,50,FALSE
7.98,2.74,0.73,7.57,0,TRUE
8.42,1.36,0.52,7.89,0,TRUE
8.35,3.94,0.7,7.12,50,TRUE
6.94,2.9,0.92,7.41,25,TRUE
7.46,1.36,0.51,7.19,0,TRUE
8.07,2.94,0.77,6.5,50,TRUE
6.83,4.58,0.62,6.69,25,TRUE
7.21,2.1,0.67,7.38,0,TRUE
7.59,4.3,0.95,7.26,0,TRUE
6.44,2.84,0.94,7.61,25,TRUE
8.15,2.69,0.86,7.22,50,TRUE
7.2,1.48,0.69,7.66,25,TRUE
7.78,2.6,0.6,7.2,0,FALSE
6.52,3.96,0.73,7.92,25,TRUE
6.88,3.27,0.78,7.11,25,TRUE
7.07,3.01,0.76,6.88,0,TRUE
7.3,3.33,0.71,7.45,25,TRUE
7.56,3.51,0.53,6.62,25,TRUE
6.88,1.58,1.0,7.06,0,TRUE
7.18,3.51,0.99,6.54,25,TRUE
8.08,4.62,0.52,6.75,25,TRUE
6.23,2.91,0.79,6.58,25,TRUE
7.75,1.27,0.83,7.27,50,TRUE
8.89,3.75,0.79,6.71,50,TRUE
8.19,4.84,0.84,7.81,50,TRUE
7.05,4.1,0.94,7.32,50,FALSE
6.32,4.65,0.83,6.71,25,TRUE
7.02,1.72,0.74,7.96,0,TRUE
7.56,1.03,0.57,7.72,25,TRUE
7.83,1.12,0.62,7.09,50,TRUE
6.37,3.63,0.84,7.74,25,TRUE
7.99,2.3,0.6,6.66,25,TRUE
6.78,2.96,0.62,7.88,0,TRUE
7.36,2.44,0.88,7.02,50,TRUE
8.71,1.67,0.6,6.72,50,TRUE
7.43,4.02,0.86,6.78,0,TRUE
6.39,3.18,0.91,7.27,25,TRUE
8.17,1.66,0.69,6.69,0,TRUE
7.43,11.03,0.91,7.03,25,FALSE
6.97,4.9,0.67,7.0,25,TRUE
8.25,3.77,0.62,7.39,50,TRUE
7.89,3.46,0.53,7.66,25,TRUE
8.0,1.47,0.91,6.5,25,TRUE
8.25,4.52,0.93,6.71,0,TRUE
7.65,1.9,0.7,7.46,25,TRUE
7.86,4.91,0.82,7.44,50,TRUE
7.39,3.4,0.62,7.17,50,TRUE
6.4,2.27,0.83,7.22,25,TRUE
8.61,4.24,0.58,6.5,50,TRUE
8.05,4.92,0.79,6.88,25,TRUE
7.01,1.28,0.56,7.71,50,TRUE
13.06,2.14,0.64,6.93,25,FALSE
8.29,3.94,0.77,7.43,0,TRUE
7.03,3.0,0.89,7.25,25,TRUE
7.68,4.82,0.83,7.31,25,TRUE
7.51,1.53,0.81,6.83,50,TRUE
6.59,2.86,0.64,7.82,0,TRUE
8.03,4.98,0.75,7.8,0,TRUE
6.38,3.89,0.53,7.38,25,TRUE
7.24,3.48,0.92,7.53,25,TRUE
7.8,3.58,0.64,7.13,0,TRUE
7.71,4.14,0.84,7.72,0,TRUE
6.74,3.66,0.67,6.86,25,TRUE
8.04,1.61,0.67,7.35,25,TRUE
6.79,2.1,0.66,7.52,0,FALSE
7.34,1.94,0.87,6.92,0,TRUE
7.35,4.35,0.59,7.58,50,TRUE
8.64,3.29,0.94,7.09,50,TRUE
6.99,1.67,0.85,7.04,25,TRUE
8.16,2.1,0.77,7.58,0,TRUE
6.66,3.35,0.65,6.91,25,TRUE
7.61,3.21,0.75,7.08,25,TRUE
6.7,1.47,0.99,7.97,25,TRUE
8.46,3.51,0.77,6.64,50,TRUE
6.98,2.92,0.63,7.17,25,TRUE
7.51,1.27,0.92,6.92,0,TRUE
8.12,1.8,0.96,7.76,50,TRUE
7.77,2.63,8.27,7.1,50,FALSE
7.03,2.35,0.57,6.96,50,TRUE
7.05,3.55,0.51,7.47,50,TRUE
7.34,4.67,0.78,7.15,0,TRUE
7.32,4.62,0.66,6.71,50,TRUE
8.08,1.09,0.54,7.94,25,TRUE
8.37,2.72,1.0,7.24,0,TRUE
7.76,2.59,0.55,7.01,0,TRUE
7.77,1.77,0.84,6.63,25,TRUE
6.38,1.02,0.6,7.53,25,TRUE
8.45,1.24,0.78,6.96,50,TRUE
7.84,4.07,0.54,7.74,0,TRUE
7.76,3.14,0.59,6.62,25,TRUE
7.77,2.14,0.72,9.11,50,FALSE
7.86,3.87,0.92,6.54,25,TRUE
7.89,2.08,0.96,6.85,0,TRUE
8.49,1.4,1.0,7.05,0,TRUE
7.62,1.27,0.66,6.73,25,TRUE
7.13,4.01,0.92,7.25,0,TRUE
7.39,1.87,0.93,7.64,0,TRUE
7.1,3.88,0.94,7.23,0,TRUE
8.29,3.14,0.95,7.56,50,TRUE
7.88,2.28,0.62,6.8,0,TRUE
8.68,1.55,0.78,6.88,50,TRUE
8.25,4.36,0.87,6.68,0,TRUE
6.62,4.52,0.54,7.06,25,TRUE
7.47,4.34,0.63,7.19,25,FALSE
8.32,2.69,0.86,7.66,0,TRUE
7.9,2.73,0.97,7.34,25,TRUE
8.94,1.15,0.51,7.19,50,TRUE
6.54,4.59,0.99,7.2,25,TRUE
6.9,4.65,0.87,6.95,25,TRUE
8.54,3.77,0.84,6.52,50,TRUE
7.8,1.98,0.66,7.5,0,TRUE
6.87,1.25,0.63,7.94,0,TRUE
6.61,4.69,0.8,7.95,0,TRUE
8.21,4.9,0.59,7.91,50,TRUE
8.12,3.43,0.95,7.32,0,TRUE
6.28,2.19,0.83,6.7,25,TRUE
7.22,8.21,0.9,6.55,50,FALSE
7.88,3.33,0.67,7.22,50,TRUE
6.52,3.54,0.8,7.23,0,TRUE
